run	wealth	return	value	profit	mdd	transactions	short transactions
0	500003.213025	  0.000643	  0.000490	  3.213025	  0.000763	55	0
1	500002.546297	  0.000509	  0.000392	  2.546297	  0.000584	56	0
2	500003.048157	  0.000610	  0.000430	  3.048157	  0.000897	67	0
3	500003.327034	  0.000665	  0.000517	  3.327034	  0.000744	59	0
4	500002.264655	  0.000453	  0.000307	  2.264655	  0.000731	27	0
5	500003.363260	  0.000673	  0.000526	  3.363260	  0.000735	56	0
6	500003.121821	  0.000624	  0.000469	  3.121821	  0.000776	55	0
7	500000.897426	  0.000179	  0.000087	  0.897426	  0.000464	50	0
8	500003.877688	  0.000776	  0.000636	  3.877688	  0.000696	9	0
9	500005.144457	  0.001029	  0.000850	  5.144457	  0.000893	34	0
