run	wealth	return	value	profit	mdd	transactions	short transactions
0	500005.042207	  0.001008	  0.000954	  5.042207	  0.000273	25	0
1	500004.310510	  0.000862	  0.000805	  4.310510	  0.000285	27	0
2	500005.518117	  0.001104	  0.001037	  5.518117	  0.000332	32	0
3	500004.301248	  0.000860	  0.000788	  4.301248	  0.000363	29	0
4	500005.273286	  0.001055	  0.001024	  5.273286	  0.000152	18	0
5	500005.429690	  0.001086	  0.001014	  5.429690	  0.000359	27	0
6	500005.128905	  0.001026	  0.000970	  5.128905	  0.000278	25	0
7	500003.128418	  0.000626	  0.000594	  3.128418	  0.000158	27	0
8	500006.276982	  0.001255	  0.001220	  6.276982	  0.000177	6	0
9	500007.737065	  0.001547	  0.001499	  7.737065	  0.000244	20	0
