run	wealth	return	value	profit	mdd	transactions	short transactions
0	499998.956036	 -0.000209	 -0.000299	 -1.043964	  0.000449	49	0
1	500000.766889	  0.000153	 -0.000005	  0.766889	  0.000790	71	0
2	499999.765060	 -0.000047	 -0.000344	 -0.234940	  0.001487	60	0
3	500010.222194	  0.002044	  0.001832	 10.222194	  0.001063	31	0
4	499998.787409	 -0.000243	 -0.000427	 -1.212591	  0.000922	73	0
5	500000.100360	  0.000020	 -0.000063	  0.100360	  0.000415	38	0
6	499998.970199	 -0.000206	 -0.000461	 -1.029801	  0.001277	53	0
7	499999.854250	 -0.000029	 -0.000151	 -0.145750	  0.000610	41	0
8	500000.020800	  0.000004	 -0.000133	  0.020800	  0.000686	65	0
9	499999.042167	 -0.000192	 -0.000336	 -0.957833	  0.000722	72	0
