run	wealth	return	value	profit	mdd	transactions	short transactions
0	500000.140433	  0.000028	  0.000016	  0.140433	  0.000059	12	0
1	500000.361105	  0.000072	  0.000045	  0.361105	  0.000136	4	0
2	500000.220299	  0.000044	  0.000035	  0.220299	  0.000047	8	0
3	500000.007021	  0.000001	 -0.000001	  0.007021	  0.000010	20	0
4	500000.335687	  0.000067	  0.000051	  0.335687	  0.000078	10	0
5	500000.148718	  0.000030	  0.000005	  0.148718	  0.000122	12	0
6	500000.120919	  0.000024	  0.000021	  0.120919	  0.000018	4	0
7	500000.326711	  0.000065	  0.000060	  0.326711	  0.000027	8	0
8	500000.531473	  0.000106	  0.000082	  0.531473	  0.000119	6	0
9	500000.085405	  0.000017	  0.000003	  0.085405	  0.000070	12	0
