run	wealth	return	value	profit	mdd	transactions	short transactions
0	500001.892520	  0.000379	  0.000323	  1.892520	  0.000280	5	0
1	500002.148209	  0.000430	  0.000402	  2.148209	  0.000139	10	0
2	500001.740797	  0.000348	  0.000327	  1.740797	  0.000104	17	0
3	500003.081033	  0.000616	  0.000576	  3.081033	  0.000200	10	0
4	500002.261273	  0.000452	  0.000390	  2.261273	  0.000309	19	0
5	500001.830255	  0.000366	  0.000346	  1.830255	  0.000102	15	0
6	500002.409910	  0.000482	  0.000452	  2.409910	  0.000151	10	0
7	500003.411366	  0.000682	  0.000616	  3.411366	  0.000331	20	0
8	500002.225287	  0.000445	  0.000418	  2.225287	  0.000136	9	0
9	500002.902655	  0.000581	  0.000541	  2.902655	  0.000199	11	0
