run	wealth	return	value	profit	mdd	transactions	short transactions
0	499998.664256	 -0.000267	 -0.000326	 -1.335744	  0.000295	29	0
1	499998.065227	 -0.000387	 -0.000554	 -1.934773	  0.000837	6	0
2	499998.946356	 -0.000211	 -0.000256	 -1.053644	  0.000227	4	0
3	499997.866084	 -0.000427	 -0.000578	 -2.133916	  0.000759	23	0
4	499998.340200	 -0.000332	 -0.000425	 -1.659800	  0.000466	22	0
5	499998.018934	 -0.000396	 -0.000488	 -1.981066	  0.000460	20	0
6	499999.099957	 -0.000180	 -0.000257	 -0.900043	  0.000387	23	0
7	499999.694498	 -0.000061	 -0.000085	 -0.305502	  0.000119	25	0
8	499998.083775	 -0.000383	 -0.000466	 -1.916225	  0.000414	29	0
9	499999.344700	 -0.000131	 -0.000180	 -0.655300	  0.000246	22	0
