run	wealth	return	value	profit	mdd	transactions	short transactions
0	500001.701252	  0.000340	  0.000299	  1.701252	  0.000208	13	0
1	499999.896763	 -0.000021	 -0.000111	 -0.103237	  0.000450	37	0
2	500000.044982	  0.000009	 -0.000124	  0.044982	  0.000663	68	0
3	499998.922478	 -0.000216	 -0.000344	 -1.077522	  0.000642	52	0
4	499999.791985	 -0.000042	 -0.000113	 -0.208015	  0.000357	42	0
5	499998.249836	 -0.000350	 -0.000473	 -1.750164	  0.000614	17	0
6	499998.558229	 -0.000288	 -0.000406	 -1.441771	  0.000590	53	0
7	500003.946882	  0.000789	  0.000662	  3.946882	  0.000638	12	0
8	499999.393347	 -0.000121	 -0.000387	 -0.606653	  0.001327	21	0
9	499999.718144	 -0.000056	 -0.000231	 -0.281856	  0.000872	59	0
