run	wealth	return	value	profit	mdd	transactions	short transactions
0	500001.806328	  0.000361	  0.000336	  1.806328	  0.000124	11	0
1	500001.835332	  0.000367	  0.000331	  1.835332	  0.000178	16	0
2	500001.608933	  0.000322	  0.000299	  1.608933	  0.000114	24	0
3	500001.656101	  0.000331	  0.000301	  1.656101	  0.000151	20	0
4	500001.434887	  0.000287	  0.000258	  1.434887	  0.000146	18	0
5	500002.758363	  0.000552	  0.000480	  2.758363	  0.000359	10	0
6	500001.574762	  0.000315	  0.000265	  1.574762	  0.000248	22	0
7	500002.613039	  0.000523	  0.000489	  2.613039	  0.000169	10	0
8	500001.766138	  0.000353	  0.000310	  1.766138	  0.000217	8	0
9	500001.897985	  0.000380	  0.000357	  1.897985	  0.000115	23	0
