run	wealth	return	value	profit	mdd	transactions	short transactions
0	499998.254912	 -0.000349	 -0.000566	 -1.745088	  0.001087	47	0
1	499999.781084	 -0.000044	 -0.000130	 -0.218916	  0.000429	41	0
2	499998.881992	 -0.000224	 -0.000442	 -1.118008	  0.001091	63	0
3	499999.342776	 -0.000131	 -0.000272	 -0.657224	  0.000702	8	0
4	499999.293380	 -0.000141	 -0.000248	 -0.706620	  0.000532	72	0
5	499999.351207	 -0.000130	 -0.000303	 -0.648793	  0.000867	70	0
6	499999.826888	 -0.000035	 -0.000165	 -0.173112	  0.000650	61	0
7	499998.849180	 -0.000230	 -0.000386	 -1.150820	  0.000778	34	0
8	500003.613983	  0.000723	  0.000609	  3.613983	  0.000569	12	0
9	499999.347258	 -0.000131	 -0.000261	 -0.652742	  0.000651	57	0
