run	wealth	return	value	profit	mdd	transactions	short transactions
0	500003.293473	  0.000659	  0.000595	  3.293473	  0.000320	20	0
1	500001.766194	  0.000353	  0.000317	  1.766194	  0.000184	18	0
2	500002.244054	  0.000449	  0.000421	  2.244054	  0.000139	22	0
3	500001.887320	  0.000377	  0.000322	  1.887320	  0.000279	5	0
4	500001.045922	  0.000209	  0.000190	  1.045922	  0.000098	26	0
5	500001.661983	  0.000332	  0.000304	  1.661983	  0.000141	24	0
6	500000.918896	  0.000184	  0.000170	  0.918896	  0.000068	21	0
7	500001.407952	  0.000282	  0.000270	  1.407952	  0.000056	13	0
8	500002.368981	  0.000474	  0.000444	  2.368981	  0.000149	10	0
9	500001.171949	  0.000234	  0.000220	  1.171949	  0.000073	20	0
