run	wealth	return	value	profit	mdd	transactions	short transactions
0	499998.777715	 -0.000244	 -0.000554	 -1.222285	  0.001549	51	0
1	499999.474409	 -0.000105	 -0.000181	 -0.525591	  0.000380	45	0
2	499998.875250	 -0.000225	 -0.000546	 -1.124750	  0.001605	52	0
3	500002.831388	  0.000566	  0.000465	  2.831388	  0.000507	8	0
4	500000.848834	  0.000170	  0.000129	  0.848834	  0.000203	34	0
5	500002.472836	  0.000495	  0.000417	  2.472836	  0.000389	12	0
6	499999.224587	 -0.000155	 -0.000229	 -0.775413	  0.000368	16	0
7	499999.689800	 -0.000062	 -0.000237	 -0.310200	  0.000876	6	0
8	499999.750739	 -0.000050	 -0.000123	 -0.249261	  0.000364	32	0
9	500004.019044	  0.000804	  0.000675	  4.019044	  0.000644	11	0
