run	wealth	return	value	profit	mdd	transactions	short transactions
0	500000.135018	  0.000027	  0.000019	  0.135018	  0.000038	9	0
1	500000.431898	  0.000086	  0.000079	  0.431898	  0.000036	8	0
2	500000.167875	  0.000034	  0.000019	  0.167875	  0.000071	12	0
3	500000.011303	  0.000002	  0.000001	  0.011303	  0.000004	4	0
4	500000.010263	  0.000002	  0.000001	  0.010263	  0.000004	2	0
5	500000.256207	  0.000051	  0.000042	  0.256207	  0.000047	10	0
6	500000.179045	  0.000036	  0.000028	  0.179045	  0.000038	8	0
7	500000.158379	  0.000032	  0.000024	  0.158379	  0.000040	4	0
8	500000.218295	  0.000044	  0.000034	  0.218295	  0.000046	8	0
9	500000.313120	  0.000063	  0.000058	  0.313120	  0.000023	4	0
