run	wealth	return	value	profit	mdd	transactions	short transactions
0	499999.771436	 -0.000046	 -0.000199	 -0.228564	  0.000766	37	0
1	500003.456440	  0.000691	  0.000580	  3.456440	  0.000559	12	0
2	500000.429652	  0.000086	 -0.000051	  0.429652	  0.000683	70	0
3	500004.052571	  0.000811	  0.000680	  4.052571	  0.000655	12	0
4	499999.050122	 -0.000190	 -0.000322	 -0.949878	  0.000662	44	0
5	499999.684625	 -0.000063	 -0.000183	 -0.315375	  0.000601	36	0
6	500000.465620	  0.000093	 -0.000059	  0.465620	  0.000761	68	0
7	500000.176186	  0.000035	 -0.000107	  0.176186	  0.000714	72	0
8	499999.607317	 -0.000079	 -0.000295	 -0.392683	  0.001081	65	0
9	499998.171844	 -0.000366	 -0.000469	 -1.828156	  0.000516	22	0
