run	wealth	return	value	profit	mdd	transactions	short transactions
0	500005.762958	  0.001153	  0.001080	  5.762958	  0.000362	31	0
1	500004.784213	  0.000957	  0.000929	  4.784213	  0.000138	18	0
2	500005.273286	  0.001055	  0.001024	  5.273286	  0.000152	18	0
3	500005.923827	  0.001185	  0.001147	  5.923827	  0.000187	20	0
4	500004.958960	  0.000992	  0.000962	  4.958960	  0.000149	17	0
5	500002.698996	  0.000540	  0.000516	  2.698996	  0.000119	21	0
6	500005.907468	  0.001181	  0.001148	  5.907468	  0.000167	6	0
7	500005.819909	  0.001164	  0.001087	  5.819909	  0.000385	28	0
8	500003.720126	  0.000744	  0.000714	  3.720126	  0.000148	19	0
9	500004.783254	  0.000957	  0.000919	  4.783254	  0.000188	26	0
