run	wealth	return	value	profit	mdd	transactions	short transactions
0	500001.965712	  0.000393	  0.000369	  1.965712	  0.000119	23	0
1	500002.426561	  0.000485	  0.000431	  2.426561	  0.000269	21	0
2	500002.894337	  0.000579	  0.000533	  2.894337	  0.000229	20	0
3	500002.700592	  0.000540	  0.000460	  2.700592	  0.000402	26	0
4	500001.728801	  0.000346	  0.000319	  1.728801	  0.000136	8	0
5	500001.875217	  0.000375	  0.000337	  1.875217	  0.000191	18	0
6	500001.320960	  0.000264	  0.000246	  1.320960	  0.000092	6	0
7	500002.538396	  0.000508	  0.000452	  2.538396	  0.000277	22	0
8	500002.218118	  0.000444	  0.000417	  2.218118	  0.000134	23	0
9	500001.489393	  0.000298	  0.000261	  1.489393	  0.000183	8	0
