run	wealth	return	value	profit	mdd	transactions	short transactions
0	499998.573676	 -0.000285	 -0.000348	 -1.426324	  0.000314	29	0
1	499999.226674	 -0.000155	 -0.000189	 -0.773326	  0.000171	29	0
2	499999.680606	 -0.000064	 -0.000089	 -0.319394	  0.000126	25	0
3	499999.479897	 -0.000104	 -0.000162	 -0.520103	  0.000292	12	0
4	499999.479040	 -0.000104	 -0.000149	 -0.520960	  0.000224	23	0
5	499999.427493	 -0.000115	 -0.000144	 -0.572507	  0.000147	6	0
6	499999.307115	 -0.000139	 -0.000181	 -0.692885	  0.000214	13	0
7	499998.453007	 -0.000309	 -0.000376	 -1.546993	  0.000335	24	0
8	499998.968372	 -0.000206	 -0.000254	 -1.031628	  0.000239	20	0
9	499999.682745	 -0.000063	 -0.000085	 -0.317255	  0.000109	76	0
