run	wealth	return	value	profit	mdd	transactions	short transactions
0	499998.746439	 -0.000251	 -0.000394	 -1.253561	  0.000714	48	0
1	500000.276920	  0.000055	 -0.000126	  0.276920	  0.000907	61	0
2	500000.771157	  0.000154	 -0.000002	  0.771157	  0.000783	72	0
3	500002.741311	  0.000548	  0.000450	  2.741311	  0.000491	8	0
4	499999.551188	 -0.000090	 -0.000178	 -0.448812	  0.000441	9	0
5	500000.046775	  0.000009	 -0.000101	  0.046775	  0.000550	36	0
6	499998.832576	 -0.000233	 -0.000317	 -1.167424	  0.000416	18	0
7	499999.252065	 -0.000150	 -0.000219	 -0.747935	  0.000346	50	0
8	499999.828946	 -0.000034	 -0.000077	 -0.171054	  0.000212	41	0
9	499999.949602	 -0.000010	 -0.000310	 -0.050398	  0.001500	61	0
