run	wealth	return	value	profit	mdd	transactions	short transactions
0	500002.467639	  0.000494	  0.000462	  2.467639	  0.000159	20	0
1	500001.772646	  0.000355	  0.000331	  1.772646	  0.000117	26	0
2	500001.788939	  0.000358	  0.000335	  1.788939	  0.000115	26	0
3	500001.475260	  0.000295	  0.000275	  1.475260	  0.000102	6	0
4	500001.095421	  0.000219	  0.000187	  1.095421	  0.000162	5	0
5	500001.695030	  0.000339	  0.000306	  1.695030	  0.000164	16	0
6	500001.873063	  0.000375	  0.000326	  1.873063	  0.000243	10	0
7	500001.206055	  0.000241	  0.000215	  1.206055	  0.000130	21	0
8	500000.546643	  0.000109	  0.000088	  0.546643	  0.000104	18	0
9	500002.505677	  0.000501	  0.000473	  2.505677	  0.000142	23	0
